"corpus","match_position","left context","match","right_context","thread_postcount","text_nk","thread_title","text_swefn","text_ovix","text_date","text_username","forum_title","forum_url","text_blingbring","thread_lastpost","thread_url","text_lix","text_url"
"Familjeliv: Adoption","4908376","Jag kommer aldrig glömma åren av orolig och","ångestfylld","väntan på våra barn och avundas inte er som står och stampar i köer av olika slag .","6","0.55","I dag har vi familjedag","|Sending:43.085|Memory:41.846|Feeling:34.092|","59.37","2012-03-07 15:23:34","ManOchTvåBarn","Adoption > Förälder","http://www.familjeliv.se/forum/13/247","|otacksamhet:69.964|avund:57.348|uppvaktning:46.192|","2012-03-07 22:41:31","http://www.familjeliv.se/forum/thread/63885495-i-dag-har-vi-familjedag","31.10","http://www.familjeliv.se/forum/thread/63885495-i-dag-har-vi-familjedag/1"
"Familjeliv: Adoption","4992686","Tänk att jag sitter här , efter 6 år av längtan med alla dessa","ångestfyllda","dagar och nätter i bagaget och plötsligt är lycklig mamma Och tänk att det är JAG som skriver detta nu , det trodde jag aldrig att jag skulle få göra !","16","0.43","Idag blir sonen 1 år!","|Relating_concepts:607.308|Interrupt_process:124.708|Accuracy:63.192|","72.69","2009-08-19 22:34:20","Paprikan","Adoption > Förälder","http://www.familjeliv.se/forum/13/247","|fåordighet:59.956|växtriket:36.149|åldring:19.192|","2009-08-21 21:05:48","http://www.familjeliv.se/forum/thread/46535802-idag-blir-sonen-1-ar","44.04","http://www.familjeliv.se/forum/thread/46535802-idag-blir-sonen-1-ar/1"
"Familjeliv: Adoption","6364498","Inget att oroa sig för alltså Att välja land -","ångestfyllt",", "" har vi valt rätt ? ""","7","0.82","Funderar på att adoptera..","|Adopt_selection:528.453|Being_obligatory:153.882|Change_position_on_a_scale_fluctuation:87.348|","67.65","2006-03-09 19:57:56","Juno","Adoption > Övrigt","http://www.familjeliv.se/forum/13/253","|upprullning:45.278|fåordighet:18.057|hållningslöshet:15.918|","2006-03-11 11:29:29","http://www.familjeliv.se/forum/thread/7835815-funderar-pa-att-adoptera","31.90","http://www.familjeliv.se/forum/thread/7835815-funderar-pa-att-adoptera/1#anchor-m5"
"Familjeliv: Adoption","11001461","Att leva i ovisshet är naturligtvis","ångestfyllt","och oroligt , man är så nära lyckan men riskerar att förlora det lilla liv man nyss fått i sin famn .","7","0.67","Någon som adopterat svenskt barn","|Adopt_selection:1095.574|Contrition:261.598|Luck:112.301|","74.07","2010-04-06 20:37:23","mua76","Adoption > Övrigt","http://www.familjeliv.se/forum/13/253","|fåordighet:37.436|filantropi:31.559|behörighet:29.887|","2010-04-06 20:37:23","http://www.familjeliv.se/forum/thread/51800530-nagon-som-adopterat-svenskt-barn","41.65","http://www.familjeliv.se/forum/thread/51800530-nagon-som-adopterat-svenskt-barn/1#anchor-m6"
"Familjeliv: Adoption","11232581","Det kan ju mycket väl vara genant och eller","ångestfyllt","att erkänna att man frivilligt var tvungen att välja att lämna bort barnet .","2","0.58","Ang krönika i Expressen om adoption","|Experimentation:164.651|Obscurity:76.853|Reason:30.783|","61.86","2006-03-30 11:53:04","Vildrosen","Adoption > Övrigt","http://www.familjeliv.se/forum/13/253","|alstrare:26.924|råmärke:24.474|åldring:19.043|","2006-03-30 12:38:20","http://www.familjeliv.se/forum/thread/8321533-ang-kronika-i-expressen-om-adoption","36.18","http://www.familjeliv.se/forum/thread/8321533-ang-kronika-i-expressen-om-adoption/1"
"Familjeliv: Adoption","11564144","Att tänka på barn är inte längre","ångestfyllt","och stressande - det känns fantastiskt att tänka på barn .","21","0.36","Får man vara med här?","|Emotions_by_stimulus:40.586|Expertise_positive:40.327|Breathing:38.294|","68.49","2007-09-09 22:32:44","Kluran","Adoption > Övrigt","http://www.familjeliv.se/forum/13/253","|hållningslöshet:54.267|överdrift:48.36|nyck:28.651|","2007-09-10 18:58:35","http://www.familjeliv.se/forum/thread/24696350-far-man-vara-med-har","29.72","http://www.familjeliv.se/forum/thread/24696350-far-man-vara-med-har/2#anchor-m17"
"Familjeliv: Adoption","11874856","Stressad","ångestfylld","småbarnsmor","3","0.56","Adopterad osäker mamma!","|Avoiding:84.095|Fear:51.404|Making_faces:47.521|","55.39","2016-03-13 18:45:49","anna87ju","Adoption > Hjälp/Råd","http://www.familjeliv.se/forum/13/392","|åldring:36.125|klagan:26.176|flykt:21.84|","2016-03-20 01:09:23","http://www.familjeliv.se/forum/thread/76436059-adopterad-osaker-mamma","30.82","http://www.familjeliv.se/forum/thread/76436059-adopterad-osaker-mamma/1"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","1056670","Eller kommer du känba dig orolig ,","ångestfylld",", ensam och sviken ?","11","0.67","Hur går jag vidare..","|Commonality:35.791|Expected_location_of_person:34.717|Change_direction:28.769|","57.21","2017-04-16 07:44:51","Jw83","Ekonomi & juridik > Familjerätt","http://www.familjeliv.se/forum/19/290","|libertin:369.69|frikostighet:64.9|hämnd:44.443|","2017-04-16 21:33:17","http://www.familjeliv.se/forum/thread/77593223-hur-gar-jag-vidare","26.58","http://www.familjeliv.se/forum/thread/77593223-hur-gar-jag-vidare/1#anchor-m5"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","3199329","Nu känner jag mig mer","ångestfylld","än vad jag gjort på flera år , får panikångest , gråter och hyperventilerar innan jag ska gå till jobbet , orkar inte med det helt enkel .","5","0.45","Får inte sjuka mig...","|Communication:174.336|Expected_location_of_person:38.067|Breathing:31.408|","66.48","2016-08-31 22:30:33","trudellutt","Ekonomi & juridik > Juridik","http://www.familjeliv.se/forum/19/295","|själviskhet:24.677|klagan:23.421|repulsion:11.644|","2016-09-08 22:29:43","http://www.familjeliv.se/forum/thread/76931358-far-inte-sjuka-mig","27.46","http://www.familjeliv.se/forum/thread/76931358-far-inte-sjuka-mig/1"
"Familjeliv: Allmänna rubriker – Ekonomi & juridik","6974421","Mvh","ångestfylld","","2","0.59","Vikarie, rätt att gå på arbetsintervju?","|Render_nonfunctional:137.192|Cause_expansion_mod:100.134|Candidness:88.805|","80.01","2018-03-12 20:02:51","emla92","Ekonomi & juridik > Övrigt","http://www.familjeliv.se/forum/19/427","|surrogat:74.771|fasta:31.657|överflyttning:19.036|","2018-03-12 21:40:48","http://www.familjeliv.se/forum/thread/78545440-vikarie-ratt-att-ga-pa-arbetsintervju","28.24","http://www.familjeliv.se/forum/thread/78545440-vikarie-ratt-att-ga-pa-arbetsintervju/1"
